"","ID_UC_G0","bin","count","GC_UCN_MAI_2025","GC_CNT_GAD_2025","city_country","prop"
"237",4416,"p0.2_0.4",283840,"Kananga","Democratic Republic of the Congo","Kananga (Democratic Republic of the Congo)",0.5938211967221
"238",4416,"p0.4_0.6",23496,"Kananga","Democratic Republic of the Congo","Kananga (Democratic Republic of the Congo)",0.0491559429191885
"239",4416,"p0.6_0.8",2114,"Kananga","Democratic Republic of the Congo","Kananga (Democratic Republic of the Congo)",0.00442269591978058
"240",4416,"p0.8_1",12,"Kananga","Democratic Republic of the Congo","Kananga (Democratic Republic of the Congo)",2.51051802447337e-05
"241",4605,"p0_0.2",6111665,"Cairo","Egypt","Cairo (Egypt)",0.645605962717592
"242",4605,"p0.2_0.4",1552047,"Cairo","Egypt","Cairo (Egypt)",0.163950543365507
"243",4605,"p0.4_0.6",664669,"Cairo","Egypt","Cairo (Egypt)",0.0702123348765908
"244",4605,"p0.6_0.8",590227,"Cairo","Egypt","Cairo (Egypt)",0.0623486513997276
"245",4605,"p0.8_1",547948,"Cairo","Egypt","Cairo (Egypt)",0.0578825076405823
"246",461,"p0_0.2",459355,"Lilongwe","Malawi","Lilongwe (Malawi)",0.513299720864538
"247",461,"p0.2_0.4",253145,"Lilongwe","Malawi","Lilongwe (Malawi)",0.282873285015409
"248",461,"p0.4_0.6",137471,"Lilongwe","Malawi","Lilongwe (Malawi)",0.153615016549224
"249",461,"p0.6_0.8",38060,"Lilongwe","Malawi","Lilongwe (Malawi)",0.0425296064614608
"250",461,"p0.8_1",6875,"Lilongwe","Malawi","Lilongwe (Malawi)",0.00768237110936791
"251",47,"p0_0.2",774841,"Freetown","Sierra Leone","Freetown (Sierra Leone)",0.626083548804137
"252",47,"p0.2_0.4",202894,"Freetown","Sierra Leone","Freetown (Sierra Leone)",0.163941499676794
"253",47,"p0.4_0.6",126158,"Freetown","Sierra Leone","Freetown (Sierra Leone)",0.101937621202327
"254",47,"p0.6_0.8",82969,"Freetown","Sierra Leone","Freetown (Sierra Leone)",0.0670402391725921
"255",47,"p0.8_1",50738,"Freetown","Sierra Leone","Freetown (Sierra Leone)",0.04099709114415
"256",4787,"p0_0.2",3840184,"Durban","South Africa","Durban (South Africa)",0.775355379426406
"257",4787,"p0.2_0.4",769299,"Durban","South Africa","Durban (South Africa)",0.155325921371829
